,Date,Período,País,Genomas sequenciados
0,2020-03,Mar 2020,Bahamas,2
1,2020-03,Mar 2020,Bolívia,2
2,2020-03,Mar 2020,Haiti,1
3,2020-04,Abr 2020,Bahamas,2
4,2020-04,Abr 2020,Bolívia,4
5,2020-04,Abr 2020,Haiti,1
6,2020-05,Mai 2020,Bolívia,12
7,2020-05,Mai 2020,Guatemala,4
8,2020-05,Mai 2020,Haiti,13
9,2020-05,Mai 2020,Paraguai,1
11,2020-06,Jun 2020,Paraguai,4
10,2020-06,Jun 2020,Guatemala,2
12,2020-07,Jul 2020,Bahamas,1
13,2020-07,Jul 2020,Bolívia,3
14,2020-07,Jul 2020,Guatemala,11
15,2020-07,Jul 2020,Paraguai,3
16,2020-08,Ago 2020,Bahamas,3
17,2020-08,Ago 2020,Bolívia,6
18,2020-08,Ago 2020,Guatemala,3
21,2020-09,Set 2020,Paraguai,2
19,2020-09,Set 2020,Bahamas,2
20,2020-09,Set 2020,Guatemala,1
24,2020-10,Out 2020,Paraguai,3
23,2020-10,Out 2020,Guatemala,1
22,2020-10,Out 2020,Bahamas,2
25,2020-11,Nov 2020,Bahamas,13
26,2020-11,Nov 2020,Guatemala,4
27,2020-11,Nov 2020,Haiti,4
28,2020-11,Nov 2020,Paraguai,2
29,2020-12,Dez 2020,Haiti,10
30,2021-01,Jan 2021,Bahamas,3
31,2021-01,Jan 2021,Guatemala,2
32,2021-01,Jan 2021,Haiti,1
33,2021-01,Jan 2021,Honduras,11
34,2021-01,Jan 2021,Jamaica,2
37,2021-02,Fev 2021,Jamaica,83
35,2021-02,Fev 2021,Haiti,1
36,2021-02,Fev 2021,Honduras,18
38,2021-03,Mar 2021,Bahamas,9
39,2021-03,Mar 2021,Bolívia,11
40,2021-03,Mar 2021,Jamaica,37
41,2021-03,Mar 2021,República Dominicana,28
42,2021-04,Abr 2021,Bahamas,24
43,2021-04,Abr 2021,Jamaica,4
45,2021-05,Mai 2021,Jamaica,12
44,2021-05,Mai 2021,Haiti,48
46,2021-05,Mai 2021,República Dominicana,41
